id	depth	type	is_leaf	name	path
culture-games-board-games-chess-lists	5	event	false	Lists	Culture / Games / Board games / Chess / Lists
culture-games-board-games-chess-lists-chess-books	6	event	true	Chess books	Culture / Games / Board games / Chess / Lists / Chess books
culture-games-board-games-chess-lists-chess-games	6	event	true	Chess games	Culture / Games / Board games / Chess / Lists / Chess games
culture-games-board-games-chess-lists-chess-openings	6	event	true	Chess openings	Culture / Games / Board games / Chess / Lists / Chess openings
culture-games-board-games-chess-lists-chess-players	6	event	true	Chess players	Culture / Games / Board games / Chess / Lists / Chess players
culture-games-board-games-chess-lists-chess-terms	6	event	true	Chess terms	Culture / Games / Board games / Chess / Lists / Chess terms
culture-games-board-games-chess-lists-chess-tournaments	6	event	true	Chess tournaments	Culture / Games / Board games / Chess / Lists / Chess tournaments
culture-games-board-games-chess-lists-chess-world-records	6	event	true	Chess world records	Culture / Games / Board games / Chess / Lists / Chess world records
culture-games-board-games-chess-lists-fairy-pieces	6	event	true	Fairy pieces	Culture / Games / Board games / Chess / Lists / Fairy pieces
culture-games-board-games-chess-lists-world-championship-matches	6	event	true	World championship matches	Culture / Games / Board games / Chess / Lists / World championship matches
culture-games-lists	3	event	false	Lists	Culture / Games / Lists
culture-games-lists-board-game-publishers	4	event	true	Board game publishers	Culture / Games / Lists / Board game publishers
culture-games-lists-games-by-year-non-video	4	event	true	Games by year (non-video)	Culture / Games / Lists / Games by year (non-video)
culture-games-lists-japanese-board-games	4	event	true	Japanese board games	Culture / Games / Lists / Japanese board games
culture-games-lists-mancala-variants	4	event	true	Mancala variants	Culture / Games / Lists / Mancala variants
culture-games-lists-miniature-wargames	4	event	true	Miniature wargames	Culture / Games / Lists / Miniature wargames
culture-games-video-games-lists	4	event	false	Lists	Culture / Games / Video games / Lists
culture-games-video-games-lists-arcade-games	5	event	true	Arcade games	Culture / Games / Video games / Lists / Arcade games
culture-games-video-games-lists-console-palettes	5	event	true	Console palettes	Culture / Games / Video games / Lists / Console palettes
culture-literature-lists	3	event	false	Lists	Culture / Literature / Lists
culture-literature-lists-books	4	event	false	Books	Culture / Literature / Lists / Books
culture-literature-lists-books-banned-books	5	event	true	Banned books	Culture / Literature / Lists / Books / Banned books
culture-literature-lists-books-best-selling-books	5	event	true	Best-selling books	Culture / Literature / Lists / Books / Best-selling books
culture-literature-lists-books-by-genre	5	event	true	By genre	Culture / Literature / Lists / Books / By genre
culture-literature-lists-books-literary-awards	5	event	true	Literary awards	Culture / Literature / Lists / Books / Literary awards
culture-literature-lists-books-writers	5	event	true	Writers	Culture / Literature / Lists / Books / Writers
culture-literature-lists-by-year	4	event	true	By year	Culture / Literature / Lists / By year
culture-literature-lists-electronic-literature	4	event	false	Electronic literature	Culture / Literature / Lists / Electronic literature
culture-literature-lists-electronic-literature-electronic-literature-authors-critics-and-works	5	event	true	Electronic literature authors, critics, and works	Culture / Literature / Lists / Electronic literature / Electronic literature authors, critics, and works
culture-literature-lists-fiction	4	event	false	Fiction	Culture / Literature / Lists / Fiction
culture-literature-lists-fiction-comics	5	event	false	Comics	Culture / Literature / Lists / Fiction / Comics
culture-literature-lists-fiction-comics-best-selling-manga	6	event	true	Best-selling manga	Culture / Literature / Lists / Fiction / Comics / Best-selling manga
culture-literature-lists-fiction-comics-comic-books	6	event	false	Comic books	Culture / Literature / Lists / Fiction / Comics / Comic books
culture-literature-lists-fiction-comics-comic-books-dc-comics	7	event	false	DC Comics	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics
culture-literature-lists-fiction-comics-comic-books-dc-comics-dc-characters	8	event	true	DC characters	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / DC characters
culture-literature-lists-fiction-comics-comic-books-dc-comics-dc-universe-locations	8	event	true	DC Universe locations	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / DC Universe locations
culture-literature-lists-fiction-comics-comic-books-dc-comics-elseworlds	8	event	true	Elseworlds	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Elseworlds
culture-literature-lists-fiction-comics-comic-books-dc-comics-justice-league-members	8	event	true	Justice League members	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Justice League members
culture-literature-lists-fiction-comics-comic-books-dc-comics-legion-of-super-heroes-members	8	event	true	Legion of Super-Heroes members	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Legion of Super-Heroes members
culture-literature-lists-fiction-comics-comic-books-dc-comics-superman-enemies	8	event	true	Superman enemies	Culture / Literature / Lists / Fiction / Comics / Comic books / DC Comics / Superman enemies
culture-literature-lists-fiction-comics-comic-books-marvel-comics	7	event	false	Marvel Comics	Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics
culture-literature-lists-fiction-comics-comic-books-marvel-comics-avengers	8	event	true	Avengers	Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / Avengers
culture-literature-lists-fiction-comics-comic-books-marvel-comics-marvel-characters	8	event	true	Marvel characters	Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / Marvel characters
culture-literature-lists-fiction-comics-comic-books-marvel-comics-x-men	8	event	true	X-Men	Culture / Literature / Lists / Fiction / Comics / Comic books / Marvel Comics / X-Men
culture-literature-lists-fiction-comics-comic-strips	6	event	true	Comic strips	Culture / Literature / Lists / Fiction / Comics / Comic strips
culture-literature-lists-fiction-comics-manga	6	event	true	Manga	Culture / Literature / Lists / Fiction / Comics / Manga
culture-literature-lists-fiction-fairy-tales	5	event	true	Fairy tales	Culture / Literature / Lists / Fiction / Fairy tales
culture-literature-lists-fiction-fictional-characters	5	event	true	Fictional characters	Culture / Literature / Lists / Fiction / Fictional characters
culture-literature-lists-fiction-fictional-computers	5	event	true	Fictional computers	Culture / Literature / Lists / Fiction / Fictional computers
culture-literature-lists-fiction-fictional-places	5	event	false	Fictional places	Culture / Literature / Lists / Fiction / Fictional places
culture-literature-lists-fiction-fictional-places-fictional-countries	6	event	true	Fictional countries	Culture / Literature / Lists / Fiction / Fictional places / Fictional countries
culture-literature-lists-fiction-fictional-places-fictional-planets	6	event	true	Fictional planets	Culture / Literature / Lists / Fiction / Fictional places / Fictional planets
culture-literature-lists-fiction-fictional-places-imaginary-universes	6	event	true	Imaginary universes	Culture / Literature / Lists / Fiction / Fictional places / Imaginary universes
culture-literature-lists-fiction-fictional-robots-and-androids	5	event	true	Fictional robots and androids	Culture / Literature / Lists / Fiction / Fictional robots and androids
culture-literature-lists-fiction-major-themes	5	event	false	Major themes	Culture / Literature / Lists / Fiction / Major themes
culture-literature-lists-fiction-major-themes-adultery	6	event	true	Adultery	Culture / Literature / Lists / Fiction / Major themes / Adultery
culture-literature-lists-fiction-major-themes-family	6	event	true	Family	Culture / Literature / Lists / Fiction / Major themes / Family
culture-literature-lists-fiction-major-themes-sadomasochism	6	event	true	Sadomasochism	Culture / Literature / Lists / Fiction / Major themes / Sadomasochism
culture-literature-lists-fiction-major-themes-science-fiction	6	event	true	Science fiction	Culture / Literature / Lists / Fiction / Major themes / Science fiction
culture-literature-lists-fiction-major-themes-travel	6	event	true	Travel	Culture / Literature / Lists / Fiction / Major themes / Travel
culture-literature-lists-magazines	4	event	false	Magazines	Culture / Literature / Lists / Magazines
culture-literature-lists-magazines-anomalous-phenomena-magazines	5	event	true	Anomalous phenomena magazines	Culture / Literature / Lists / Magazines / Anomalous phenomena magazines
culture-literature-lists-magazines-magazines-by-circulation	5	event	true	Magazines by circulation	Culture / Literature / Lists / Magazines / Magazines by circulation
culture-literature-lists-magazines-men-s-magazines	5	event	true	Men's magazines	Culture / Literature / Lists / Magazines / Men's magazines
culture-literature-lists-magazines-teen-magazines	5	event	true	Teen magazines	Culture / Literature / Lists / Magazines / Teen magazines
culture-literature-lists-magazines-women-s-magazines	5	event	true	Women's magazines	Culture / Literature / Lists / Magazines / Women's magazines
