id,realm,depth,current_type,is_leaf,current_path,bucket,target_path,target_realm,proposed_new_type,import_source,notes
culture-games-board-games-chess-lists,Culture,5,event,false,Culture / Games / Board games / Chess / Lists,DISSOLVE_CONTAINER,,,,,
culture-games-board-games-chess-lists-chess-books,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess books,INTRA_REALM,Culture / Games / Board games / Chess / Books,,publication_list,,
culture-games-board-games-chess-lists-chess-games,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess games,INTRA_REALM,Culture / Games / Board games / Chess / Notable games,,event_list,,Individual famous games
culture-games-board-games-chess-lists-chess-openings,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess openings,INTRA_REALM,Culture / Games / Board games / Chess / Openings,,concept_list,,
culture-games-board-games-chess-lists-chess-players,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess players,INTRA_REALM,Culture / Games / Board games / Chess / Players,,role_list,,
culture-games-board-games-chess-lists-chess-terms,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess terms,INTRA_REALM,Culture / Games / Board games / Chess / Terms,,reference,,Chess-vocabulary reference
culture-games-board-games-chess-lists-chess-tournaments,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess tournaments,INTRA_REALM,Culture / Games / Board games / Chess / Tournaments,,event_list,,
culture-games-board-games-chess-lists-chess-world-records,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Chess world records,INTRA_REALM,Culture / Games / Board games / Chess / World records,,record_list,,Pairs with History / Lists / World records in chess (historical) — that copy also moves here
culture-games-board-games-chess-lists-fairy-pieces,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / Fairy pieces,INTRA_REALM,Culture / Games / Board games / Chess / Fairy pieces,,concept_list,,Chess-variants
culture-games-board-games-chess-lists-world-championship-matches,Culture,6,event,true,Culture / Games / Board games / Chess / Lists / World championship matches,INTRA_REALM,Culture / Games / Board games / Chess / World Championship matches,,event_list,,
culture-games-lists,Culture,3,event,false,Culture / Games / Lists,DISSOLVE_CONTAINER,,,,,
culture-games-lists-board-game-publishers,Culture,4,event,true,Culture / Games / Lists / Board game publishers,IMPORT_REALIZE,Culture / Games / Board games / Publishers,,company_list,games-industry reference,
culture-games-lists-games-by-year-non-video,Culture,4,event,true,Culture / Games / Lists / Games by year (non-video),LENS,lens: temporal-axis on Culture / Games / Board games,,,,§12
culture-games-lists-japanese-board-games,Culture,4,event,true,Culture / Games / Lists / Japanese board games,INTRA_REALM,Culture / Games / Board games / Japanese board games,,entity_list,,Cultural-regional category
culture-games-lists-mancala-variants,Culture,4,event,true,Culture / Games / Lists / Mancala variants,INTRA_REALM,Culture / Games / Board games / Mancala variants,,entity_list,,
culture-games-lists-miniature-wargames,Culture,4,event,true,Culture / Games / Lists / Miniature wargames,INTRA_REALM,Culture / Games / Tabletop games / Miniature wargames,,entity_list,,
culture-games-video-games-lists,Culture,4,event,false,Culture / Games / Video games / Lists,DISSOLVE_CONTAINER,,,,,
culture-games-video-games-lists-arcade-games,Culture,5,event,true,Culture / Games / Video games / Lists / Arcade games,INTRA_REALM,Culture / Games / Video games / Arcade games,,entity_list,,
