iso_3166_2,country,name,type
AF-DAY,AF,Dāykundī,Province
AF-PAN,AF,Panjshayr,Province
AZ-LAC,AZ,Laçın,Rayon
AZ-YE,AZ,Yevlax,Municipality
BI-RM,BI,Rumonge,Province
BE-VLG,BE,Vlaams Gewest,Region
BE-WAL,BE,"wallonne, Région",Region
BQ-SA,BQ,Saba,Special municipality
BQ-BO,BQ,Bonaire,Special municipality
BQ-SE,BQ,Sint Eustatius,Special municipality
BF-07,BF,Centre-Sud,Region
BF-08,BF,Est,Region
BF-09,BF,Hauts-Bassins,Region
BF-10,BF,Nord,Region
BF-11,BF,Plateau-Central,Region
BF-12,BF,Sahel,Region
BF-13,BF,Sud-Ouest,Region
BF-01,BF,Boucle du Mouhoun,Region
BF-02,BF,Cascades,Region
BF-03,BF,Centre,Region
BF-04,BF,Centre-Est,Region
BF-05,BF,Centre-Nord,Region
BF-06,BF,Centre-Ouest,Region
BD-H,BD,Mymensingh,Division
BS-GC,BS,Grand Cay,District
BS-HT,BS,Hope Town,District
BS-NP,BS,New Providence,Island
BW-CH,BW,Chobe,District
CN-MO,CN,Macao SAR,Special administrative region
CN-HK,CN,Hong Kong SAR,Special administrative region
CN-TW,CN,Taiwan Sheng,Province
CI-SM,CI,Sassandra-Marahoué,District
CI-YM,CI,Yamoussoukro,Autonomous district
CI-AB,CI,Abidjan,Autonomous district
CI-MG,CI,Montagnes,District
CI-WR,CI,Woroba,District
CI-GD,CI,Gôh-Djiboua,District
CD-LO,CD,Lomami,Province
CD-LU,CD,Lualaba,Province
CD-BU,CD,Bas-Uélé,Province
CD-MN,CD,Mai-Ndombe,Province
CD-MO,CD,Mongala,Province
CD-HK,CD,Haut-Katanga,Province
CD-HL,CD,Haut-Lomami,Province
CD-NU,CD,Nord-Ubangi,Province
CD-HU,CD,Haut-Uélé,Province
CD-SA,CD,Sankuru,Province
CD-IT,CD,Ituri,Province
CD-KC,CD,Kasaï Central,Province
CD-SU,CD,Sud-Ubangi,Province
CD-TA,CD,Tanganyika,Province
CD-KG,CD,Kwango,Province
CD-TO,CD,Tshopo,Province
CD-KL,CD,Kwilu,Province
CD-TU,CD,Tshuapa,Province
CD-KS,CD,Kasaï,Province
CO-DC,CO,Distrito Capital de Bogotá,Capital district
CV-B,CV,Ilhas de Barlavento,Geographical region
CV-S,CV,Ilhas de Sotavento,Geographical region
CY-06,CY,Keryneia,District
CZ-80,CZ,Moravskoslezský kraj,Region
CZ-41,CZ,Karlovarský kraj,Region
CZ-42,CZ,Ústecký kraj,Region
CZ-51,CZ,Liberecký kraj,Region
CZ-52,CZ,Královéhradecký kraj,Region
CZ-53,CZ,Pardubický kraj,Region
